Incident Index,Minimum Travel Time
193,2209.7689118233734
194,380.35408058259907
195,766.426770629842
196,620.494313543458
197,1404.7727127663588
198,292.0
199,1450.3495913023032
200,684.3858592040064
201,226.78187722327368
202,14.5
203,158.9
204,1148.388477037327
205,950.398292411726
206,1299.7666157885299
207,490.69927022541845
208,587.5997958850494
209,832.255245913254
210,1161.5573861807254
211,162.6
212,946.5102045434279
213,1666.8946151802315
214,599.5
215,1397.7051763212978
216,755.4470166797793
217,577.4492956339769
218,670.3965712020232
219,468.54011365805496
220,447.6554517067768
221,707.3982924116904
222,681.9693296652842
223,1361.767490595689
224,684.0908852747235
225,809.4372378488215
226,184.4574064413255
227,502.0042156239732
228,871.0681043061958
229,675.3
230,657.5906784880838
231,593.6470166797792
232,59.698292411585705
233,618.9884770373267
234,506.21016768549555
235,875.5453575924648
236,1034.9470166797794
237,476.4605660888484
238,507.26774567300356
239,266.035189332233
240,905.9605660888484
241,1004.3753677648299
242,414.7582007529677
243,885.3891161802467
244,589.2000000002624
245,842.6470939892062
246,813.4985102783767
247,871.1102045434633
248,1412.7357699341155
249,587.2418068497027
250,669.4409563390991
251,1347.2969373072315
252,1217.7357699341153
253,933.3834982000312
254,528.953640150515
255,1177.9220986391315
256,630.4540805827082
257,576.7
258,571.7906784880839
259,550.4004100670866
260,625.9102045434279
261,231.09966925295865
262,513.8
263,1102.9730874379532
264,1568.3646883408396
265,931.4646883408393
266,1424.9292490857003
267,805.3480460526096
268,407.2220977363859
269,1196.3946151800512
270,907.614721300956
271,923.37626487679
272,829.7056868505136
273,740.910204543428
274,662.2574988160613
275,941.8589206469968
276,941.7147213009561
277,1124.7607232483226
278,706.509282090293
279,1264.1
280,488.3418068497026
281,679.9693296652842
282,1270.8102045434282
283,830.4000000000594
284,442.9
285,437.5717663420266
286,1039.9
287,506.1227388793459
288,578.1878361254551
289,487.3996692529587
290,65.05408058259901
291,597.2605660888483
292,569.6155921432353
293,1014.9540805828152
294,484.0605660888485
295,1182.1056868505136
296,797.0540805828152
297,678.0188339298091
298,1024.5360796533116
299,154.1
300,1049.9268980296138
301,1773.7650292299102
302,482.40000000000003
303,1272.5605660888486
304,527.6
305,220.05408058267236
306,773.5772358496201
307,175.09999999999997
308,548.7547549792595
309,0.0
310,795.6470939892062
311,290.90000000008223
312,337.1498772232736
313,1373.3015382328722
314,1136.7100894646885
315,1462.4102045434283
316,1658.837012770282
